N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
206.0,아시아나항공,14600.0,300.0,-2.01%,5000.0,43397.0,130827.0,932.0
207.0,SK네트웍스,4370.0,75.0,-1.69%,2500.0,110181.0,94109.0,1220.0
208.0,더존비즈온,35650.0,500.0,+1.42%,500.0,3187.0,9003.0,712.0
209.0,SK가스,116500.0,2500.0,+2.19%,5000.0,64945.0,51215.0,1055.0
210.0,KBSTAR 200,31470.0,160.0,-0.51%,0.0,,,
211.0,에이프로젠,1395.0,10.0,-0.71%,500.0,1412.0,8241.0,-27.0
212.0,KG스틸,10500.0,500.0,-4.55%,5000.0,33548.0,27711.0,2969.0
213.0,PI첨단소재,35650.0,350.0,-0.97%,500.0,3019.0,4730.0,759.0
214.0,솔루엠,20550.0,150.0,+0.74%,500.0,11533.0,7109.0,265.0
215.0,종근당,85500.0,1100.0,+1.30%,2500.0,13436.0,10467.0,948.0
216.0,한일시멘트,14500.0,200.0,-1.36%,500.0,12719.0,23703.0,1204.0
217.0,코리안리,8250.0,0.0,0.00%,500.0,109155.0,131157.0,2035.0
218.0,신세계인터내셔날,27800.0,400.0,+1.46%,1000.0,14508.0,11591.0,920.0
219.0,금호타이어,3445.0,45.0,+1.32%,5000.0,26012.0,43422.0,-415.0
220.0,GKL,15950.0,150.0,+0.95%,500.0,851.0,5313.0,-1458.0
221.0,덴티움,88700.0,1500.0,+1.72%,500.0,2915.0,5702.0,699.0
222.0,미원에스씨,191500.0,0.0,0.00%,500.0,5313.0,4381.0,950.0
223.0,케이카,20150.0,400.0,-1.95%,500.0,19024.0,5500.0,711.0
224.0,일동제약,35750.0,300.0,+0.85%,1000.0,5601.0,7090.0,-555.0
225.0,CJ CGV,20050.0,0.0,0.00%,500.0,7363.0,37855.0,-2414.0
226.0,해성디에스,56100.0,1000.0,-1.75%,5000.0,6554.0,4749.0,863.0
227.0,KODEX 인버스,4935.0,25.0,+0.51%,0.0,,,
228.0,태광산업,818000.0,5000.0,-0.61%,5000.0,25918.0,49238.0,3553.0
229.0,제이알글로벌리츠,4560.0,60.0,-1.30%,1000.0,463.0,18846.0,241.0
230.0,하나투어,56000.0,1600.0,-2.78%,500.0,403.0,4306.0,-1273.0
231.0,NHN,24800.0,100.0,-0.40%,500.0,19237.0,30272.0,979.0
232.0,유니드,100000.0,0.0,0.00%,5000.0,10973.0,13477.0,1683.0
233.0,동양생명,5500.0,50.0,-0.90%,5000.0,63476.0,371033.0,3322.0
234.0,오리온홀딩스,14100.0,50.0,-0.35%,500.0,24151.0,49618.0,3157.0
235.0,진에어,16850.0,600.0,-3.44%,1000.0,2472.0,6016.0,-1853.0
236.0,미원상사,175000.0,500.0,-0.28%,500.0,3598.0,3724.0,572.0
237.0,녹십자홀딩스,18450.0,0.0,0.00%,500.0,18406.0,34968.0,862.0
238.0,롯데관광개발,11950.0,450.0,-3.63%,500.0,1071.0,13024.0,-1313.0
239.0,한국콜마,37650.0,200.0,+0.53%,500.0,15863.0,26060.0,843.0
240.0,코스모화학,24450.0,50.0,-0.20%,1000.0,5126.0,6813.0,305.0
241.0,삼양식품,113500.0,2000.0,+1.79%,5000.0,6420.0,7531.0,654.0
242.0,삼천리,209500.0,3000.0,+1.45%,5000.0,37633.0,42453.0,700.0
243.0,한올바이오파마,16200.0,200.0,-1.22%,500.0,1016.0,1985.0,101.0
244.0,이노션,42250.0,50.0,+0.12%,500.0,15020.0,22016.0,1357.0
245.0,티와이홀딩스,16500.0,50.0,-0.30%,500.0,2952.0,21322.0,112.0
246.0,다우기술,18650.0,50.0,+0.27%,500.0,60870.0,463224.0,12572.0
247.0,KODEX 코스닥150레버리지,8505.0,5.0,-0.06%,0.0,,,
248.0,동원산업,225000.0,1500.0,+0.67%,5000.0,28022.0,30519.0,2607.0
249.0,KCC글라스,51500.0,200.0,+0.39%,1000.0,11757.0,18779.0,1605.0
250.0,풍산,29300.0,350.0,-1.18%,5000.0,35095.0,31483.0,3141.0
251.0,TKG휴켐스,20050.0,450.0,-2.20%,1000.0,8612.0,9493.0,934.0
252.0,진원생명과학,10450.0,200.0,-1.88%,1000.0,387.0,2495.0,-275.0
253.0,제주항공,15950.0,50.0,+0.31%,1000.0,2731.0,12668.0,-3172.0
254.0,HDC현대산업개발,12000.0,0.0,0.00%,5000.0,33639.0,65664.0,2734.0
255.0,LG전자우,45600.0,300.0,-0.65%,5000.0,,,
256.0,더블유게임즈,42300.0,100.0,+0.24%,500.0,6241.0,13819.0,1904.0
257.0,대신증권,15250.0,0.0,0.00%,5000.0,36353.0,227632.0,8855.0
